time,open,high,low,close,Up Marker,Down Marker,VWAP
2026-04-14T19:03:00-05:00,26011.25,26011.75,26007.25,26007.5,0,0,26010.492418808524
2026-04-14T19:04:00-05:00,26007.75,26013.5,26005.5,26012,0,0,26010.490104258697
2026-04-14T19:05:00-05:00,26012.75,26015,26009.75,26011.75,0,0,26010.50701652089
2026-04-14T19:06:00-05:00,26011,26022,26010.5,26018.5,0,0,26010.608632432843
2026-04-14T19:07:00-05:00,26018,26021.75,26017,26021,0,0,26010.678096693944
2026-04-14T19:08:00-05:00,26020.5,26021,26015.75,26018.25,0,0,26010.72433356612
2026-04-14T19:09:00-05:00,26017.5,26021,26016.25,26018,0,0,26010.768506702694
2026-04-14T19:10:00-05:00,26017.75,26018.25,26009,26013.5,0,0,26010.81024
2026-04-14T19:11:00-05:00,26013.5,26015.25,26011.25,26013.75,0,0,26010.824524549367
2026-04-14T19:12:00-05:00,26013.5,26013.5,26006.75,26007.75,0,1,26010.814367238858
2026-04-14T19:13:00-05:00,26008.5,26015.25,26008,26014.5,0,0,26010.829262109546
2026-04-14T19:14:00-05:00,26014.25,26017,26012,26017,0,0,26010.862133223076
2026-04-14T19:15:00-05:00,26015.25,26016.5,26010.75,26016,0,0,26010.89210068206
2026-04-14T19:16:00-05:00,26016.5,26023,26016.5,26022.5,1,0,26010.997574170717
2026-04-14T19:17:00-05:00,26021.5,26021.75,26013.75,26015,0,0,26011.044119790567
2026-04-14T19:18:00-05:00,26014.75,26015.75,26010.5,26011,0,0,26011.056608951352
2026-04-14T19:19:00-05:00,26010.75,26014.25,26010,26013,0,0,26011.06327072661
2026-04-14T19:20:00-05:00,26012.5,26015,26012,26014,0,0,26011.06954170322
2026-04-14T19:21:00-05:00,26014.25,26021.75,26013.5,26016.5,0,0,26011.118805614336
2026-04-14T19:22:00-05:00,26017,26021.5,26016.25,26021.5,0,0,26011.164380266775
2026-04-14T19:23:00-05:00,26021.25,26022.25,26015,26016.25,0,0,26011.214611487427
2026-04-14T19:24:00-05:00,26016.5,26017,26012.25,26015.25,0,0,26011.236310241628
2026-04-14T19:25:00-05:00,26015.5,26018,26011.5,26014,0,0,26011.255547415265
2026-04-14T19:26:00-05:00,26014.75,26016.75,26014.25,26016.75,0,0,26011.26955267074
2026-04-14T19:27:00-05:00,26016,26019,26015.5,26016.75,0,0,26011.28706492775
2026-04-14T19:28:00-05:00,26016.5,26018,26013.5,26015.25,0,0,26011.29869467139
2026-04-14T19:29:00-05:00,26015.5,26018.75,26015.25,26018.25,0,0,26011.31028555738
2026-04-14T19:30:00-05:00,26018.5,26021,26017.5,26021,0,0,26011.357482224183
2026-04-14T19:31:00-05:00,26020.75,26021.75,26016.5,26019,0,0,26011.39037749392
2026-04-14T19:32:00-05:00,26019,26020,26015.5,26017,0,0,26011.410840582063
2026-04-14T19:33:00-05:00,26016.75,26016.75,26007.75,26010,0,1,26011.411835399278
2026-04-14T19:34:00-05:00,26010,26013.75,26009.25,26012.75,0,0,26011.414339001847
2026-04-14T19:35:00-05:00,26013.25,26015.75,26010.25,26010.75,0,0,26011.41887297799
2026-04-14T19:36:00-05:00,26010,26014.5,26009.25,26014.25,0,0,26011.42361969673
2026-04-14T19:37:00-05:00,26014,26015,26010,26010,0,0,26011.424426013687
2026-04-14T19:38:00-05:00,26010,26012,26009.25,26010.5,0,0,26011.42156569473
2026-04-14T19:39:00-05:00,26010.25,26011.75,26006.5,26007.75,0,0,26011.40844301682
2026-04-14T19:40:00-05:00,26007.25,26009.25,26006.5,26008.25,0,0,26011.395461309523
2026-04-14T19:41:00-05:00,26008.75,26010.75,26007,26009.25,0,0,26011.386075522936
2026-04-14T19:42:00-05:00,26009.75,26010.25,25995,25997,0,0,26011.143986588464
2026-04-14T19:43:00-05:00,25997.75,26002.5,25997.75,26000,1,0,26011.05794261018
2026-04-14T19:44:00-05:00,26000,26003.25,25998,26000.5,0,0,26011.00046229659
2026-04-14T19:45:00-05:00,26000,26003.75,25999,26002,0,0,26010.947949903086
2026-04-14T19:46:00-05:00,26002.25,26002.5,25998.5,25999.75,0,0,26010.901260317085
2026-04-14T19:47:00-05:00,26000,26002,25999,26000.25,0,0,26010.85816997329
2026-04-14T19:48:00-05:00,26000.5,26001.25,25997.5,25999.5,0,0,26010.81201042464
2026-04-14T19:49:00-05:00,25999.75,26004.25,25999,26003.25,0,0,26010.754099999023
2026-04-14T19:50:00-05:00,26003,26008.25,26002.25,26006.75,0,0,26010.709347354485
2026-04-14T19:51:00-05:00,26006.5,26016,26005.5,26014,0,0,26010.721211534506
2026-04-14T19:52:00-05:00,26014,26014.5,26009.75,26011.75,0,0,26010.730804177223
2026-04-14T19:53:00-05:00,26012.5,26015,26011.75,26013,0,0,26010.74151595468
2026-04-14T19:54:00-05:00,26013.25,26015,26012.5,26014,0,0,26010.75251979587
2026-04-14T19:55:00-05:00,26014,26021.25,26014,26019,1,0,26010.832396232036
2026-04-14T19:56:00-05:00,26019.75,26020.75,26014.25,26015.75,0,0,26010.87970624789
2026-04-14T19:57:00-05:00,26016.25,26019.5,26014.75,26018.75,0,0,26010.901086931488
2026-04-14T19:58:00-05:00,26018.75,26019.25,26016.25,26017.5,0,0,26010.917127287597
2026-04-14T19:59:00-05:00,26017,26019,26016.75,26018.5,0,0,26010.935551690633
2026-04-14T20:00:00-05:00,26018.5,26019.75,26015,26015,0,0,26010.96290658749
2026-04-14T20:01:00-05:00,26015,26021.5,26014,26020,0,0,26011.003931480875
2026-04-14T20:02:00-05:00,26019.75,26021.25,26016,26019.25,0,0,26011.048423941476
2026-04-14T20:03:00-05:00,26019,26020.5,26016,26016.75,0,0,26011.08638171732
2026-04-14T20:04:00-05:00,26017.5,26021,26016.5,26020,0,0,26011.104820198925
2026-04-14T20:05:00-05:00,26020,26022,26019,26019.75,0,0,26011.140403128757
2026-04-14T20:06:00-05:00,26020,26027.5,26019.5,26025,0,0,26011.294150868613
2026-04-14T20:07:00-05:00,26025,26030,26024,26025.5,0,0,26011.428745859026
2026-04-14T20:08:00-05:00,26026,26028,26025,26027.5,0,0,26011.489621644883
2026-04-14T20:09:00-05:00,26027.25,26030,26026.5,26028.75,0,0,26011.575721892055
2026-04-14T20:10:00-05:00,26029.25,26029.25,26026,26028.25,0,1,26011.657998528233
2026-04-14T20:11:00-05:00,26028.25,26032,26026.75,26030,0,0,26011.775935924892
2026-04-14T20:12:00-05:00,26030,26031.5,26029,26030,0,0,26011.833542156757
2026-04-14T20:13:00-05:00,26029.25,26039.5,26029,26033.25,0,0,26012.12111767279
2026-04-14T20:14:00-05:00,26033.5,26035,26030.5,26034.5,0,0,26012.226322463994
2026-04-14T20:15:00-05:00,26034,26036.5,26033.25,26035.25,0,0,26012.346073141485
2026-04-14T20:16:00-05:00,26035.75,26037.5,26031.75,26032.25,0,0,26012.453155616313
2026-04-14T20:17:00-05:00,26032,26037,26032,26034.5,1,0,26012.52253083743
2026-04-14T20:18:00-05:00,26035.25,26036.5,26033,26034.25,0,0,26012.58657076858
2026-04-14T20:19:00-05:00,26033.75,26040.75,26032.25,26038.75,0,0,26012.827316151284
2026-04-14T20:20:00-05:00,26039.5,26040.25,26037,26037.75,0,0,26012.939141051243
2026-04-14T20:21:00-05:00,26038,26038.25,26034.5,26036.25,0,0,26013.03108775292
2026-04-14T20:22:00-05:00,26035.75,26037.75,26033,26035,0,0,26013.12208396255
2026-04-14T20:23:00-05:00,26035,26035.75,26031,26032.5,0,0,26013.25122
2026-04-14T20:24:00-05:00,26032.5,26033.25,26029,26032,0,0,26013.36605183436
2026-04-14T20:25:00-05:00,26032.25,26035.75,26031,26034.75,0,0,26013.430294977887
2026-04-14T20:26:00-05:00,26035,26038.75,26033.75,26037.5,0,0,26013.52795800133
2026-04-14T20:27:00-05:00,26037.25,26038.5,26032.75,26035,0,0,26013.63498001052
2026-04-14T20:28:00-05:00,26034.75,26036.25,26034,26035,0,0,26013.683891292076
2026-04-14T20:29:00-05:00,26034.5,26037.75,26034.25,26037.5,0,0,26013.74034098237
2026-04-14T20:30:00-05:00,26036.75,26038.75,26030.25,26030.25,0,0,26013.855998531395
2026-04-14T20:31:00-05:00,26030.75,26033.75,26026.75,26033,0,0,26014.00343317963
2026-04-14T20:32:00-05:00,26033,26034.25,26030.5,26031,0,0,26014.065732903397
2026-04-14T20:33:00-05:00,26031,26032.25,26023.5,26026,0,0,26014.18906983819
2026-04-14T20:34:00-05:00,26026,26029,26025.25,26027.75,0,0,26014.24000617452
2026-04-14T20:35:00-05:00,26028.25,26029.25,26026.5,26027.75,0,0,26014.275135828495
2026-04-14T20:36:00-05:00,26028.5,26029.75,26025.75,26028.75,0,0,26014.30496522083
2026-04-14T20:37:00-05:00,26029.25,26032.5,26028.5,26031.5,0,0,26014.36865261331
2026-04-14T20:38:00-05:00,26031.25,26032.75,26030.25,26031.5,0,0,26014.39967160754
2026-04-14T20:39:00-05:00,26030.5,26033.5,26028.75,26032.5,0,0,26014.459563781573
2026-04-14T20:40:00-05:00,26032.5,26036,26032.25,26033,0,0,26014.52506245369
2026-04-14T20:41:00-05:00,26033.5,26036,26032,26032,0,0,26014.573463935052
2026-04-14T20:42:00-05:00,26031.75,26036.5,26030.75,26036.5,0,0,26014.62194198098
2026-04-14T20:43:00-05:00,26036.25,26037.5,26032.25,26034.75,0,0,26014.692226122963
2026-04-14T20:44:00-05:00,26035.25,26036.25,26034.25,26034.25,0,0,26014.712364193558
