time,open,high,low,close
2026-04-16T23:01:00-05:00,26457.25,26458.75,26455.5,26458
2026-04-16T23:02:00-05:00,26457.75,26459,26456.5,26458.5
2026-04-16T23:03:00-05:00,26458.5,26460,26458.25,26460
2026-04-16T23:04:00-05:00,26459.75,26461,26458,26460.75
2026-04-16T23:05:00-05:00,26460.75,26468.25,26460.75,26464
2026-04-16T23:06:00-05:00,26464,26469.5,26462,26467.25
2026-04-16T23:07:00-05:00,26467.5,26467.75,26465.75,26466.75
2026-04-16T23:08:00-05:00,26466.75,26470.25,26466.25,26469.75
2026-04-16T23:09:00-05:00,26469.75,26470.5,26468,26469.25
2026-04-16T23:10:00-05:00,26469.75,26470.25,26467,26468.25
2026-04-16T23:11:00-05:00,26468.25,26472.25,26468.25,26471.25
2026-04-16T23:12:00-05:00,26471,26471,26468.5,26469
2026-04-16T23:13:00-05:00,26469.25,26470.5,26468,26468.25
2026-04-16T23:14:00-05:00,26468,26472,26467.5,26471.75
2026-04-16T23:15:00-05:00,26471.75,26474.5,26470.75,26473
2026-04-16T23:16:00-05:00,26473,26475.25,26473,26474.5
2026-04-16T23:17:00-05:00,26474.25,26476,26473.5,26474
2026-04-16T23:18:00-05:00,26474.75,26477.25,26474.25,26476.25
2026-04-16T23:19:00-05:00,26476.75,26478,26476.25,26477.75
2026-04-16T23:20:00-05:00,26477.75,26480.25,26476.75,26477.25
2026-04-16T23:21:00-05:00,26476.5,26477,26474.75,26476
2026-04-16T23:22:00-05:00,26476,26476.5,26473,26474
2026-04-16T23:23:00-05:00,26474.75,26478,26474.25,26477.75
2026-04-16T23:24:00-05:00,26477.75,26478.5,26476.5,26478.5
2026-04-16T23:25:00-05:00,26478,26478.25,26475.5,26475.75
2026-04-16T23:26:00-05:00,26475.75,26477.5,26475.75,26477.25
2026-04-16T23:27:00-05:00,26476.75,26481,26476.75,26480.25
2026-04-16T23:28:00-05:00,26480.5,26481.75,26478,26480
2026-04-16T23:29:00-05:00,26480,26481.25,26475,26476.25
2026-04-16T23:30:00-05:00,26476,26477,26474.25,26476.75
2026-04-16T23:31:00-05:00,26476.25,26478.75,26475,26475.5
2026-04-16T23:32:00-05:00,26475.25,26476,26474.75,26475.75
2026-04-16T23:33:00-05:00,26475.75,26477.5,26475.25,26476.5
2026-04-16T23:34:00-05:00,26476.75,26479,26476.75,26478
2026-04-16T23:35:00-05:00,26478.25,26479,26477.25,26477.25
2026-04-16T23:36:00-05:00,26477.25,26477.5,26474.5,26476.75
2026-04-16T23:37:00-05:00,26477,26478.25,26476,26476.75
2026-04-16T23:38:00-05:00,26477.25,26477.5,26473,26473.25
2026-04-16T23:39:00-05:00,26474,26475,26471.75,26472.25
2026-04-16T23:40:00-05:00,26472,26473,26466.25,26470.75
2026-04-16T23:41:00-05:00,26470.75,26472.5,26469.75,26472.25
2026-04-16T23:42:00-05:00,26472.75,26472.75,26467.75,26471
2026-04-16T23:43:00-05:00,26470.5,26471.25,26466,26468.25
2026-04-16T23:44:00-05:00,26468.5,26469.75,26468.5,26469.5
